Platform,2022 Revenue (billions),Subscription OTT Video Viewers (Millions),2024 Ad Spending (Millions),2025 Ad Spending (Millions),Ad Spending % Change,Subscribers (Millions),Minimum Ads per movie (minutes),Maximum Ads per movie (minutes),Minimum Ads per TV episode (minutes),Maximum Ads per TV episode (minutes),Minimum Ad break length per movie (seconds),Maximum Ad break length per movie (seconds),Minimum Ad break length per TV show (seconds),Maximum Ad break length per TV show (seconds),Pre-roll breaks per movie,Minimum breaks per movie,Maximum breaks per movie,Pre-roll breaks per 30 min episode,Minimum breaks per 30 min episode,Maximum breaks per 30 min episode,Active Users Average Daily Watch Time (minutes),Total Adults Average Daily Watch Time (minutes)
SlingTV,1,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fuboTV Inc.,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crunchyroll,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peacock,1.5,87.9,1579,1911,0.21,41,3,6,3,7,180,180,15,90,Pre-roll,0,0,Pre-roll,3,5,15,5
DIRECTV Stream,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YouTube TV,1.8,21.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starz,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ESPN+,2.6,43.2,NA,NA,NA,24.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AppleTV+,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hulu,5.7,123.4,4386,4690,0.07,55.5,5,7,5,8,90,120,15,90,Pre-roll,3,4,Yes (pre-roll),3,4,36,16
Paramount+,8,86.7,1205,1395,0.16,79,3,3,5,8,180,180,60,90,Pre-roll,0,0,Pre-roll,3,4,NA,NA
Netflix,31.6,184.2,932,1171,0.26,301.6,3,5,1,2,15,30,15,30,NA,8,10,No pre-roll,2,4,63,36
Amazon Prime Video,17.5,163,NA,3039,NA,205,1,5,3,5,135,135,15,120,Pre-roll,0,1,Pre-roll,4,4,23,13
Disney+,13.5,117.1,1131,1259,0.11,127.8,5,5,3,10,15,105,15,90,Pre-roll,3,3,Pre-roll,2,5,26,9
HBO Max,13.2,89,961,1166,0.21,122.3,5,8,3,5,30,75,60,75,Pre-roll,6,7,Pre-roll,3,4,16,5
